IAS,Date,Development,Comments
34,25-Sep-14,Amended by Improvements to IFRSs 2014 (disclosure of information 'elsewhere in the interim financial report'),Effective for annual periods beginning on or after 1 January 2016
34,18-Dec-14,Amended by Disclosure Initiative (Amendments to IAS 1),Effective for annual periods beginning on or after 1 January 2016
34,29-Mar-18,Amended by Amendments to References to the Conceptual Framework in IFRS Standards    ,Effective for annual periods beginning on or after 1 January 2020
34,31-Oct-18,Amended by Definition of Material (Amendments to IAS 1 and IAS 8) ,Effective for annual periods beginning on or after 1 January 2020
34,12-Feb-21,Amended by Disclosure of Accounting Policies (Amendments to IAS 1 and Practice Statement 2 Making Materiality Judgements),Effective for annual periods beginning on or after 1 January 2023
34,9 April 2024 ,Amended by IFRS 18 Presentation and Disclosure in Financial Statements,The amendments to IAS 34 require an entity to include in its interim report the disclosures about management-defined performance measures required by paragraphs 121–125 of IFRS 18. The amendments need to be applied when IFRS 18 is applied which is effective for annual periods beginning on or after 1 January 2027.
35,August 1997,Exposure Draft E58 Discontinuing Operations,
35,June 1998,IAS 35 Discontinuing Operations,
35,1 July 1999,Effective date of IAS 35 (1998),
35,31 March 2004,IAS 35 is superseded by IFRS 5 Non-current Assets Held for Sale and Discontinued Operations effective 1 January 2005,
36,May-97,Exposure Draft E55 Impairment of Assets,
36,Jun-98,IAS 36 Impairment of Assets,Operative for financial statements covering periods beginning on or after 1 July 1999
36,31 March 2004,IAS 36 Impairment of Assets revised,"Applies to goodwill and intangible assets acquired in business combinations for which the agreement date is on or after 31 March 2004, and for all other assets prospectively from the beginning of the first annual period beginning on or after 31 March 2004"
36,22 May 2008,Amended by Annual Improvements to IFRSs 2007 (disclosure of estimates used to determine a recoverable amount),Effective for annual periods beginning on or after 1 January 2009
36,16 April 2009,Amended by Annual Improvements to IFRSs 2009 (units of accounting for goodwill impairment testing using segments under IFRS 8 before aggregation),Effective for annual periods beginning on or after 1 January 2010
36,29 May 2013,Amended by Recoverable Amount Disclosures for Non-Financial Assets (clarification of disclosures required),Effective for annual periods beginning on or after 1 January 2014
37,August 1997,"Exposure Draft E59 Provisions, Contingent Liabilities and Contingent Assets published",
37,September 1998,"IAS 37 Provisions, Contingent Liabilities and Contingent Assets issued",Operative for annual financial statements covering periods beginning on or after 1 July 1999
37,30 June 2005,"Exposure Draft Amendments to IAS 37 Provisions, Contingent Liabilities and Contingent Assets and IAS 19 Employee Benefits published","Comment deadline 28 October 2005 (proposals were not finalised, instead being reconsidered as a longer term research project)"
37,14-May-20,Amended by Onerous Contracts — Cost of Fulfilling a Contract (Amendments to IAS 37),Effective for annual periods beginning on or after 1 January 2022
38,February 1977,Exposure Draft E9 Accounting for Research and Development Activities,
38,July 1978,IAS 9 (1978) Accounting for Research and Development Activities issued,Effective 1 January 1980
38,August 1991,Exposure Draft E37 Research and Development Costs published,
38,December 1993,IAS 9 (1993) Research and Development Costs issued,Operative for annual financial statements covering periods beginning on or after 1 January 1995
38,Jun-95,Exposure Draft E50 Intangible Assets published,
38,Aug-97,E50 was modified and re-exposed as Exposure Draft E59 Intangible Assets,
38,September 1998,IAS 38 Intangible Assets issued,Operative for annual financial statements covering periods beginning on or after 1 July 1998
38,31 March 2004,IAS 38 Intangible Assets issued,"Applies to intangible assets acquired in business combinations occurring on or after 31 March 2004, or otherwise to other intangible assets for annual periods beginning on or after 31 March 2004"
38,22 May 2008,"Amended by Improvements to IFRSs (advertising and promotional activities, units of production method of amortisation)",Effective for annual periods beginning on or after 1 January 2009
38,16 April 2009,Amended by Improvements to IFRSs (measurement of intangible assets in business combinations),Effective for annual periods beginning on or after 1 July 2009
38,12 December 2013,Amended by Annual Improvements to IFRSs 2010–2012 Cycle (proportionate restatement of accumulated depreciation under the revaluation method),Effective for annual periods beginning on or after 1 July 2014
38,12 May 2014,Amended by Clarification of Acceptable Methods of Depreciation and Amortisation (Amendments to IAS 16 and IAS 38),Effective for annual periods beginning on or after 1 January 2016
39,October 1984,Exposure Draft E26 Accounting for Investments,
39,March 1986,IAS 25 Accounting for Investments,Operative for financial statements covering periods beginning on or after 1 January 1987
39,September 1991,Exposure Draft E40 Financial Instruments,
39,January 1994,E40 was modified and re-exposed as Exposure Draft E48 Financial Instruments,
39,June 1995,The disclosure and presentation portion of E48 was adopted as IAS 32,
39,March 1997,Discussion Paper Accounting for Financial Assets and Financial Liabilities issued,
39,June 1998,Exposure Draft E62 Financial Instruments: Recognition and Measurement issued,Comment deadline 30 September 1998
39,December 1998,IAS 39 Financial Instruments: Recognition and Measurement (1998),Effective date 1 January 2001
39,April 2000,Withdrawal of IAS 25 following the approval of IAS 40 Investment Property,Effective for financial statements covering periods beginning on or after 1 January 2001
39,October 2000,Limited revisions to IAS 39,Effective date 1 January 2001
39,17 December 2003,IAS 39 Financial Instruments: Recognition and Measurement (2004) issued,Effective for annual periods beginning on or after 1 January 2005
39,31 March 2004,IAS 39 revised to reflect macro hedging,Effective for annual periods beginning on or after 1 January 2005
39,17 December 2004,Amendment issued to IAS 39 for transition and initial recognition of profit or loss,
39,14 April 2005,Amendment issued to IAS 39 for cash flow hedges of forecast intragroup transactions,Effective for annual periods beginning on or after 1 January 2006
39,15 June 2005,Amendment to IAS 39 for fair value option,Effective for annual periods beginning on or after 1 January 2006
39,18 August 2005,Amendment to IAS 39 for financial guarantee contracts,Effective for annual periods beginning on or after 1 January 2006
39,22 May 2008,IAS 39 amended for Annual Improvements to IFRSs 2007,Effective for annual periods beginning on or after 1 January 2009
39,30 July 2008,Amendment to IAS 39 for eligible hedged items,Effective for annual periods beginning on or after 1 July 2009
39,13 October 2008,Amendment to IAS 39 for reclassifications of financial assets,Effective 1 July 2008
39,12 March 2009,Amendment to IAS 39 for embedded derivatives on reclassifications of financial assets,Effective for annual periods beginning on or after 1 July 2009
39,16 April 2009,IAS 39 amended for Annual Improvements to IFRSs 2009,Effective for annual periods beginning on or after 1 January 2010
39,12-Nov-09,"IFRS 9 Financial Instruments issued, replacing the classification and measurement of financial assets provisions of IAS 39","Original effective date 1 January 2013, later deferred and subsequently removed*"
39,28-Oct-10,"IFRS 9 Financial Instruments reissued, incorporating new requirements on accounting for financial liabilities and carrying over from IAS 39 the requirements for derecognition of financial assets and financial liabilities","Original effective date 1 January 2013, later deferred and subsequently removed*"
39,27 June 2013,Amended by Novation of Derivatives and Continuation of Hedge Accounting,Effective for annual periods beginning on or after 1 January 2014 (earlier application permitted)
39,19 November 2013,"IFRS 9 Financial Instruments (Hedge Accounting and amendments to IFRS 9, IFRS 7 and IAS 39) issued, permitting an entity to elect to continue to apply the hedge accounting requirements in IAS 39 for a fair value hedge of the interest rate exposure of a portion of a portfolio of financial assets or financial liabilities when IFRS 9 is applied, and to extend the fair value option to certain contracts that meet the 'own use' scope exception",Applies when IFRS 9 is applied
39,24 July 2014,"IFRS 9 Financial Instruments issued, replacing IAS 39 requirements for classification and measurement, impairment, hedge accounting and derecognition","Effective for annual periods beginning on or after 1 January 2018 (When an entity first applies IFRS 9, it may choose as its accounting policy choice to continue to apply the hedge accounting requirements of IAS 39 instead of the requirements of Chapter 6 of IFRS 9. The IASB currently is undertaking a project on macro hedge accounting which is expected to eventually replace these sections of IAS 39.)"
40,October 1984,Exposure Draft E26 Accounting for Investments published,
40,March 1986,IAS 25 Accounting for Investments issued,Operative for financial statements covering periods beginning on or after 1 January 1987
40,July 1999,Exposure Draft E64 Investment Property published,Comment deadline 31 October 1999
40,April 2000,IAS 40 Investment Property (2000) issued (Supersedes IAS 25 with respect to investment property),Operative for annual financial statements covering periods beginning on or after 1 January 2001
40,May 2002,Exposure Draft Improvements to International Accounting Standards (2000) published,Comment deadline 16 September 2002
40,18 December 2003,IAS 40 Investment Property (2003) issued,Effective for annual periods beginning on or after 1 January 2005
40,22 May 2008,Amended by Annual Improvements to IFRSs 2007 (include property under construction or development for future use within scope),Effective for annual periods beginning on or after 1 January 2009
40,12 December 2013,Amended by Annual Improvements to IFRSs 2011–2013 Cycle (interrelationship between IFRS 3 and IAS 40),Effective for annual periods beginning on or after 1 July 2014
40,08-Dec-16,Amended by Transfers of Investment Property (Amendments to IAS 40),Effective for annual periods beginning on or after 1 July 2018
41,December 1999,Exposure Draft E65 Agriculture,Comment deadline 31 January 2000
41,December 2000,IAS 41 Agriculture issued,Operative for annual financial statements covering periods beginning on or after 1 January 2003
41,22 May 2008,Amended by Improvements to IFRSs (discount rates),Effective for annual periods beginning on or after 1 January 2009
41,30 June 2014,Amended by Agriculture: Bearer Plants (Amendments to IAS 16 and IAS 41),Effective for annual periods beginning on or after 1 January 2016
41,14-May-20,Amended by Annual Improvements to IFRS Standards 2018–2020 (taxation in fair value measurements). Click for more information,Effective for annual periods beginning on or after 1 January 2022
,,,
