IAS,Date,Development,Comments
10,July 1977,Exposure Draft E10 Contingencies and Events Occurring After the Balance Sheet Date,
10,October 1978,IAS 10 Contingencies and Events Occurring After the Balance Sheet Date effective 1 January 1980,
10,1994,IAS 10 (1978) was reformatted,
10,August 1997,"Exposure Draft E59 Provisions, Contingent Liabilities and Contingent Assets",
10,September 1998,"IAS 37 Provisions, Contingent Liabilities and Contingent Assets",
10,1 July 1999,"Effective date of IAS 37, which superseded those portions of IAS 10 (1978) dealing with contingencies",
10,November 1998,Exposure Draft E63 Events After the Balance Sheet Date,
10,May 1999,IAS 10 (1999) Events After the Balance Sheet Date superseded those portions of IAS 10 (1978) dealing with events after the balance sheet date,
10,1 January 2000,Effective date of IAS 10 (1999),
10,18 December 2003,Revised version of IAS 10 issued by the IASB,
10,1 January 2005,Effective date of IAS 10 (Revised 2003),
10,6 September 2007,Retitled Events after the Reporting Period as a consequential amendment resulting from revisions to IAS 1,
11,December 1977,Exposure Draft E11 Accounting for Construction Contracts,
11,March 1979,IAS 11 Accounting for Construction Contracts,
11,1 January 1980,Effective date of IAS 11,
11,May 1992,Exposure Draft E42 Construction Contracts,
11,December 1993,IAS 11 (1993) Construction Contracts (revised as part of the 'Comparability of Financial Statements' project),
11,1 January 1995,Effective date of IAS 11 (1993),
11,01-Jan-18,IAS 11 will be superseded by IFRS 15 Revenue from Contracts with Customers,
12,April 1978,Exposure Draft E13 Accounting for Taxes on Income published,
12,July 1979,IAS 12 Accounting for Taxes on Income issued,
12,January 1989,Exposure Draft E33 Accounting for Taxes on Income published,
12,1994,IAS 12 (1979) was reformatted,
12,October 1994,Exposure Draft E49 Income Taxes published,
12,October 1996,IAS 12 Income Taxes issued,Operative for financial statements covering periods beginning on or after 1 January 1998
12,October 2000,Limited Revisions to IAS 12 published (tax consequences of dividends),Operative for financial statements covering periods beginning on or after 1 January 2001
12,31 March 2009,Exposure Draft ED/2009/2 Income Tax published,Comment deadline 31 July 2009 (proposals were not finalised)
12,10 September 2010,Exposure Draft ED/2010/11 Deferred Tax: Recovery of Underlying Assets (Proposed amendments to IAS 12) published,Comment deadline 9 November 2010
12,20 December 2010,Amended by Deferred Tax: Recovery of Underlying Assets,Effective for annual periods beginning on or after 1 January 2012
12,19-Jan-16,Amended by Recognition of Deferred Tax Assets for Unrealised Losses,Effective for annual periods beginning on or after 1 January 2017
12,07-Jun-17,IFRIC 23 Uncertainty over Income Tax Treatments issued,Effective for annual periods beginning on or after 1 January 2019
12,12-Dec-17,Amended by Annual Improvements to IFRS Standards 2015–2017 Cycle,Effective for annual periods beginning on or after 1 January 2019
12,07-May-21,Amended by Deferred Tax related to Assets and Liabilities arising from a Single Transaction (Amendments to IAS 12),Effective for annual periods beginning on or after 1 January 2023
12,23-May-23,Amended by International Tax Reform — Pillar Two Model Rules (Amendments to IAS 12),The amendments introduce an exception to the requirements in the standard that an entity does not recognise and does not disclose information about deferred tax assets and liabilities related to the OECD pillar two income taxes; an entity applies the exception and the requirement to disclose that it has applied the exception immediately upon issuance of the amendments; the remaining disclosure requirements are required for annual reporting periods beginning on or after 1 January 2023
14,March 1980,Exposure Draft E15 Reporting Financial Information by Segment,
14,August 1981,IAS 14 Reporting Financial Information by Segment,
14,1 January 1983,Effective date of IAS 14 (1981),
14,1994,IAS 14 (1981) was reformatted,
14,December 1995,Exposure Draft E51 Reporting Financial Information by Segment,
14,August 1997,IAS 14 Segment Reporting,
14,1 July 1998,Effective date of IAS 14 (1997),
14,30 November 2006,IAS 14 is superseded by IFRS 8 Operating Segments effective for annual periods beginning 1 January 2009,
15,January 1976,Exposure Draft E6 Accounting Treatment of Changing Prices,
15,June 1977,IAS 6 Accounting Responses to Changing Prices,
15,1 January 1978,Effective date of IAS 6,
15,August 1980,Exposure Draft E17 Information Reflecting the Effects of Changing Prices,
15,November 1981,IAS 15 Information Reflecting the Effects of Changing Prices superseded IAS 6,
15,1 January 1983,Effective date of IAS 15 (1981),
15,October 1989,"IASC Board voted to make the IAS 15 disclosures optional and added a statement to that effect at the front of IAS 15. In October 1989, the IASC issued a Board Statement making IAS 15 optional, not mandatory. IASC granted that exemption because of the failure to reach an international consensus on the disclosure of information reflecting the effects of changing prices. However, enterprises are encouraged to disclose information reflecting the effects of changing prices and, where they do so, to disclose the items required by IAS 15.",
15,1994,Reformatted,
15,2001,IASB tentatively decided to withdraw IAS 15,
15,December 2003,"Withdrawn effective 1 January 2005. In December 2003, the IASB withdrew IAS 15 as part of its Improvements Project, effective 1 January 2005.",
16,August 1980,"Exposure Draft E18 Accounting for Property, Plant and Equipment in the Context of the Historical Cost System published",
16,March 1982,"IAS 16 Accounting for Property, Plant and Equipment issued",Operative for financial statements covering periods beginning on or after 1 January 1983
16,1 January 1992,"Exposure Draft E43 Property, Plant and Equipment published",
16,December 1993,"IAS 16 Property, Plant and Equipment issued",Operative for financial statements covering periods beginning on or after 1 January 1995
16,,(revised as part of the 'Comparability of Financial Statements' project),
16,April and July 1998,"Amended to be consistent with IAS 22, IAS 36 and IAS 37",Operative for annual financial statements covering periods beginning on or after 1 July 1999
16,18 December 2003,"IAS 16 Property, Plant and Equipment issued",Effective for annual periods beginning on or after 1 January 2005
16,22 May 2008,Amended by Improvements to IFRSs (routine sales of assets held for rental),Effective for annual periods beginning on or after 1 January 2009
16,17 May 2012,Amended by Annual Improvements 2009-2011 Cycle (classification of servicing equipment),Effective for annual periods beginning on or after 1 January 2013
16,12 December 2013,Amended by Annual Improvements to IFRSs 2010–2012 Cycle (proportionate restatement of accumulated depreciation under the revaluation method),Effective for annual periods beginning on or after 1 July 2014
16,12-May-14,Amended by Clarification of Acceptable Methods of Depreciation and Amortisation (Amendments to IAS 16 and IAS 38),Effective for annual periods beginning on or after 1 January 2016
16,30-Jun-14,Amended by Agriculture: Bearer Plants (Amendments to IAS 16 and IAS 41),Effective for annual periods beginning on or after 1 January 2016
16,14-May-20,"Amended by Property, Plant and Equipment — Proceeds before Intended Use (Amendments to IAS 16)",Effective for annual periods beginning on or after 1 January 2022
17,October 1980,Exposure Draft E19 Accounting for Leases,
17,September 1982,IAS 17 Accounting for Leases,
17,1 January 1984,Effective date of IAS 17 (1982),
17,1994,IAS 17 (1982) was reformatted,
17,April 1997,"Exposure Draft E56, Leases",
17,December 1997,IAS 17 Leases,
17,1 January 1999,Effective date of IAS 17 (1997) Leases,
17,18 December 2003,Revised version of IAS 17 issued by the IASB,
17,1 January 2005,Effective date of IAS 17 (Revised 2003),
17,16 April 2009,IAS 17 amended for Annual Improvements to IFRSs 2009 about classification of land leases,
17,1 January 2010,"Effective date of the April 2009 revisions to IAS 17, with early application permitted (with disclosure)",
17,1 January 2019,IAS 17 will be superseded by IFRS 16 Leases,
18,April 1981,Exposure Draft E20 Revenue Recognition,
18,December 1982,IAS 18 Revenue Recognition,
18,1 January 1984,Effective date of IAS 18 (1982),
18,May 1992,E41 Revenue Recognition,
18,December 1993,IAS 18 Revenue Recognition (revised as part of the 'Comparability of Financial Statements' project),
18,1 January 1995,Effective date of IAS 18 (1993) Revenue Recognition,
18,December 1998,"Amended by IAS 39 Financial Instruments: Recognition and Measurement, effective 1 January 2001",
18,16 April 2009,Appendix to IAS 18 amended for Annual Improvements to IFRSs 2009. It now provides guidance for determining whether an entity is acting as a principal or as an agent.,
18,01-Jan-18,IAS 18 will be superseded by IFRS 15 Revenue from Contracts with Customers,
19,April 1980,Exposure Draft E16 Accounting for Retirement Benefits in Financial Statements of Employers published,
19,January 1983,IAS 19 Accounting for Retirement Benefits in Financial Statements of Employers issued,Operative for financial statements covering periods beginning on or after 1 January 1985
19,December 1992,E47 Retirement Benefit Costs published,
19,December 1993,IAS 19 Retirement Benefit Costs issued,Operative for financial statements covering periods beginning on or after 1 January 1995
19,October 1996,E54 Employee Benefits published,Comment deadline 31 January 1997
19,February 1998,IAS 19 Employee Benefits issued,Operative for financial statements covering periods beginning on or after 1 January 1999
19,July 2000,E67 Pension Plan Assets published,
19,October 2000,"Amended to change the definition of plan assets and to introduce recognition, measurement and disclosure requirements for reimbursements",Operative for annual financial statements covering periods beginning on or after 1 January 2001
19,May 2002,Amended to prevent the recognition of gains solely as a result of actuarial losses or past service cost and the recognition of losses solely as a result of actuarial gains,Operative for annual financial statements covering periods ending on or after 31 May 2002
19,5 December 2002,"ED 2 Share-based Payment published, proposing to replace the equity compensation benefits requirements of IAS 19",Comment deadline 7 March 2003
19,February 2004,Equity compensation benefits requirements replaced by IFRS 2 Share-based Payment,Effective for annual reporting periods beginning on or after 1 January 2005
19,29 April 2004,"Exposure Draft Proposed Amendments to IAS 19 Employee Benefits: Actuarial Gains and Losses, Group Plans and Disclosures published",Comment deadline 31 July 2004
19,19 December 2004,"Actuarial Gains and Losses, Group Plans and Disclosures issued",Effective for annual periods beginning on or after 1 January 2006
19,22 May 2008,Amended by Annual Improvements to IFRSs (negative past service costs and curtailments),Effective for annual periods beginning on or after 1 January 2009
19,20 August 2009,ED/2009/10 Discount Rate for Employee Benefits (Proposed amendments to IAS 19) published,Comment deadline 30 September 2009
19,,,(proposals were not finalised)
19,29 April 2010,ED/2010/3 Defined Benefit Plans (Proposed amendments to IAS 19) published,Comment deadline 6 September 2010
19,16 June 2011,IAS 19 Employee Benefits (amended 2011) issued,Effective for annual periods beginning on or after 1 January 2013
19,25 March 2013,ED/2013/4 Defined Benefit Plans: Employee Contributions (Proposed amendments to IAS 19) published,Comment deadline 25 July 2013
19,21 November 2013,Defined Benefit Plans: Employee Contributions (Amendments to IAS 19) issued,Effective for annual periods beginning on or after 1 July 2014
19,25-Sep-14,Amended by Improvements to IFRSs 2014 (discount rate: regional market issue),Effective for annual periods beginning on or after 1 January 2016
19,07-Feb-18,"Plan Amendment, Curtailment or Settlement (Amendments to IAS 19) issued",Effective for annual periods beginning on or after 1 January 2019
19,,,
20,September 1981,Exposure Draft E21 Accounting for Government Grants and Disclosure of Government Assistance,
20,April 1983,IAS 20 Accounting for Government Grants and Disclosure of Government Assistance,
20,1 January 1984,Effective date of IAS 20 (1983),
20,1994,IAS 20 (1983) was reformatted,
20,22 May 2008,IAS 20 amended for Annual Improvements to IFRSs 2007 to bring it in line with IAS 39 in respect of loans with the below market-rate of interest,
20,1 January 2009,Effective date of May 2008 amendment to IAS 20,
21,December 1977,Exposure Draft E11 Accounting for Foreign Transactions and Translation of Foreign Financial Statements,
21,March 1982,E11 was modified and re-exposed as Exposure Draft E23 Accounting for the Effects of Changes in Foreign Exchange Rates,
21,July 1983,IAS 21 Accounting for the Effects of Changes in Foreign Exchange Rates,
21,1 January 1985,Effective date of IAS 21 (1983),
21,1993,IAS 21 (1983) was revised as part of the comparability of financial statements project,
21,May 1992,Exposure Draft E44 The Effects of Changes in Foreign Exchange Rates,
21,December 1993,IAS 21 (1993) The Effects of Changes in Foreign Exchange Rates (revised as part of the 'Comparability of Financial Statements' project),
21,1 January 1995,Effective date of IAS 21 (1993),
21,18 December 2003,Revised version of IAS 21 issued by the IASB,
21,1 January 2005,Effective date of IAS 21 (Revised 2003),
21,December 2005,Minor Amendment to IAS 21 relating to net investment in a foreign operation,
21,1 January 2006,Effective date of the December 2005 amendments,
21,10 January 2008,Some revisions of IAS 21 as a result of the Business Combinations Phase II Project relating to disposals of foreign operations,
21,1 July 2009,Effective date of the January 2008 amendments,
21,15-Aug-23,Lack of Exchangeability (Amendments to IAS 21) published,An entity applies the amendments for annual reporting periods beginning on or after 1 January 2025
21,13-Nov-25,Translation to a Hyperinflationary Presentation Currency (Amendments to IAS 21) issued,The amendments are effective for annual periods beginning on or after 1 January 2027 with earlier application permitted
22,September 1981,Exposure Draft E22 Accounting for Business Combinations,
22,November 1983,IAS 22 Accounting for Business Combinations,
22,1 January 1985,Effective date of IAS 22 (1983),
22,June 1992,Exposure Draft E54 Business Combinations,
22,December 1993,"IAS 22 (1993), Business Combinations (revised as part of the 'Comparability of Financial Statements' project)",
22,1 January 1995,Effective date of IAS 22 (1993),
22,August 1997,Exposure Draft E61 Business Combinations,
22,September 1998,IAS 22 (1998) Business Combinations,
22,1 July 1999,Effective date of IAS 22 (1998) Business Combinations,
22,31 March 2004,"IAS 22 superseded by IFRS 3 Business Combinations (2004), effective for business combinations for which the agreement date is on or after 31 March 2004",
23,November 1982,Exposure Draft E24 Capitalisation of Borrowing Costs,
23,March 1984,IAS 23 Capitalisation of Borrowing Costs,
23,1 January 1986,Effective date of IAS 23 (1984),
23,August 1991,Exposure Draft E39 Capitalisation of Borrowing Costs,
23,December 1993,IAS 23 (1993) Borrowing Costs (revised as part of the 'Comparability of Financial Statements' project),
23,1 January 1995,Effective date of IAS 23 (1993) Borrowing Costs,
23,25 May 2006,Exposure Draft of proposed amendments to IAS 23,
23,29 March 2007,IASB amends IAS 23 to require capitalisation of borrowing costs.,
23,22 May 2008,IAS 23 amended for 'Annual Improvements to IFRSs 2007 for components of borrowing costs,
23,1 January 2009,Effective date of March 2007 and May 2008 amendments to IAS 23,
23,12-Dec-17,IAS 23 amended for 'Annual Improvements to IFRS Standards 2015–2017'.,
24,March 1983,Exposure Draft E25 Disclosure of Related Party Transactions,
24,July 1984,IAS 24 Related Party Disclosures issued,Effective 1 January 1986
24,1994,IAS 24 was reformatted,
24,18 December 2003,IAS 24 Related Party Disclosures,Effective for annual periods beginning on or after 1 January 2005
24,22 February 2007,Exposure Draft State-controlled Entities and the Definition of a Related Party published,Comment deadline 25 May 2007
24,11 December 2008,Exposure Draft Relationships with the State (Proposed amendments to IAS 24) published,Comment deadline 13 March 2009
