IFRS,Date,Development,Comments
4,25-Jun-2020,Amendments to IFRS 17 and Extension of the Temporary Exemption from Applying IFRS 9 (Amendments to IFRS 4) issued,"The effective date of IFRS 17, which will be replacing IFRS 4, is now 1 January 2023; the fixed expiry date for the temporary exemption in IFRS 4 from applying IFRS 9 has been deferred to 1 January 2023."
4,27-Aug-2020,"Amended by Interest Rate Benchmark Reform — Phase 2 (Amendments to IFRS 9, IAS 39, IFRS 7, IFRS 4 and IFRS 16)","The amendments require insurers who apply the temporary exemption from IFRS 9 to apply the amendments in IFRS 9 in accounting for modifications directly required by the IBOR reform, they are effective for annual periods beginning on or after 1 January 2021"
5,September 2002,Project added to IASB agenda,History of the project
5,24 July 2003,Exposure Draft ED 4 Disposal of Non-current Assets and Presentation of Discontinued Operations published,Comment deadline 24 October 2003
5,31 March 2004,IFRS 5 Non-current Assets Held for Sale and Discontinued Operations issued,Effective for annual periods beginning on or after 1 January 2005
5,22 May 2008,Amended by Improvements to IFRSs 2007 (sale of a controlling interest in the subsidiary),Effective for annual periods beginning on or after 1 July 2009
5,27 November 2008,Consequential amendments from IFRIC 17 Distributions of Non-cash Assets to Owners (assets held for distribution to owners),Effective for annual periods beginning on or after 1 July 2009
5,16 April 2009,Amended by Improvements to IFRSs 2009 (disclosure requirements in other standards),Effective for annual periods beginning on or after 1 January 2010
5,25-Sep-2014,Amended by Improvements to IFRSs 2014 (changes in methods of disposal),Effective for annual periods beginning on or after 1 January 2016
6,November 2000,IASC issues paper Summary of Issues: Extractive Industries published and comments invited,Comment deadline 30 June 2001
6,01-Apr-2001,Project on extractive industries carried over from IASC,History of the comprehensive project
6,September 2002,Short-term project split off from comprehensive project,History of the short-term project
6,16 January 2004,Exposure Draft ED 6 Exploration for and Evaluation of Mineral Resources published,Comment deadline 16 April 2004
6,9 December 2004,IFRS 6 Exploration and Evaluation of Mineral Resources issued,Effective for annual periods beginning on or after 1 January 2006
6,30 June 2005,Amended by Amendments to IFRS 1 First-time Adoption of International Financial Reporting Standards and IFRS 6 Exploration for and Evaluation of Mineral Resources (transitional relief),Amended Basis for Conclusions to IFRS 6 only
6,07-Dec-2023,IASB completes project on extractives by publishing project summary,"The IASB decided not to develop new or amended recognition, measurement or disclosure requirements for exploration and evaluation expenditure or other aspects of accounting for extractive activities"
7,22 July 2004,Exposure Draft ED 7 Financial Instruments: Disclosures published,Comment deadline 14 September 2009
7,18 August 2005,IFRS 7 Financial Instruments: Disclosures issued,Effective for annual periods beginning on or after 1 January 2007
7,22 May 2008,"Amended by Improvements to IFRSs (required disclosures when interests in jointly controlled entities are accounted for at fair value through profit or loss, presentation of finance costs)",Effective for annual periods beginning on or after 1 January 2009
7,13 October 2008,Reclassification of Financial Assets (Amendments to IAS 39 and IFRS 7) issued,Effective 1 July 2008
7,23 December 2008,Exposure Draft Investments in Debt Instruments (Proposed Amendments to IFRS 7) published,Comment deadline 15 January 2009 (Project subsequently abandoned in January 2009)
7,5 March 2009,Improving Disclosures about Financial Instruments (Amendments to IFRS 7) issued,Effective for annual periods beginning on or after 1 January 2009
7,6 May 2010,Amended by Improvements to IFRSs (clarification of disclosures),Effective for annual periods beginning on or after 1 January 2011
7,7 October 2010,Disclosures – Transfers of Financial Assets (Amendments to IFRS 7) issued,Effective for annual periods beginning on or after 1 July 2011
7,16 December 2011,Disclosures — Offsetting Financial Assets and Financial Liabilities (Amendments to IFRS 7) issued,Effective for annual periods beginning on or after 1 January 2013
7,16 December 2011,Mandatory Effective Date and Transition Disclosures (Amendments to IFRS 9 and IFRS 7) issued,Effective for annual periods beginning on or after 1 January 2015 (or otherwise when IFRS 9 is first applied)*
7,19 November 2013,"IFRS 9 Financial Instruments (Hedge Accounting and amendments to IFRS 9, IFRS 7 and IAS 39) issued, implementing additional disclosures (and consequential amendments) resulting from the introduction of the hedge accounting chapter in IFRS 9",Applies when IFRS 9 is applied*
7,25-Sep-2014,Amended by Improvements to IFRSs 2014 (servicing contracts and applicability of the amendments to IFRS 7 to condensed interim financial statements),Effective for annual periods beginning on or after 1 January 2016
7,26-Sep-2019,"Interest Rate Benchmark Reform (Amendments to IFRS 9, IAS 39 and IFRS 7) issued, requiring additional disclosures around uncertainty arising from the interest rate benchmark reform",Effective for annual periods beginning on or after 1 January 2020
7,27-Aug-2020,"Amended by Interest Rate Benchmark Reform — Phase 2 (Amendments to IFRS 9, IAS 39, IFRS 7, IFRS 4 and IFRS 16); the amendments require additional disclosures that allow users to understand the nature and extent of risks arising from the IBOR reform to which the entity is exposed to and how the entity manages those risks",Effective for annual periods beginning on or after 1 January 2021
