Standard Name,Date,Development,Comment
IAS 16,Aug-1980,"Exposure Draft E18 Accounting for Property, Plant and Equipment in the Context of the Historical Cost System published",
IAS 16,Mar-1982,"IAS 16 Accounting for Property, Plant and Equipment issued",Operative for financial statements covering periods beginning on or after 1 January 1983
IAS 16,01-Jan-1992,"Exposure Draft E43 Property, Plant and Equipment published",
IAS 16,Dec-1993,"IAS 16 Property, Plant and Equipment issued",Operative for financial statements covering periods beginning on or after 1 January 1995
IAS 16,,(revised as part of the 'Comparability of Financial Statements' project),
IAS 16,April and July 1998,"Amended to be consistent with IAS 22, IAS 36 and IAS 37",Operative for annual financial statements covering periods beginning on or after 1 July 1999
IAS 16,18-Dec-2003,"IAS 16 Property, Plant and Equipment issued",Effective for annual periods beginning on or after 1 January 2005
IAS 16,22-May-2008,Amended by Improvements to IFRSs (routine sales of assets held for rental),Effective for annual periods beginning on or after 1 January 2009
IAS 16,17-May-2012,Amended by Annual Improvements 2009-2011 Cycle (classification of servicing equipment),Effective for annual periods beginning on or after 1 January 2013
IAS 16,12-Dec-2013,Amended by Annual Improvements to IFRSs 2010-2012 Cycle (proportionate restatement of accumulated depreciation under the revaluation method),Effective for annual periods beginning on or after 1 July 2014
IAS 16,12-May-2014,Amended by Clarification of Acceptable Methods of Depreciation and Amortisation (Amendments to IAS 16 and IAS 38),Effective for annual periods beginning on or after 1 January 2016
IAS 16,30-Jun-2014,Amended by Agriculture: Bearer Plants (Amendments to IAS 16 and IAS 41),Effective for annual periods beginning on or after 1 January 2016
IAS 16,14-May-2020,"Amended by Property, Plant and Equipment - Proceeds before Intended Use (Amendments to IAS 16)",Effective for annual periods beginning on or after 1 January 2022
IAS 17,Oct-1980,Exposure Draft E19 Accounting for Leases,
IAS 17,Sep-1982,IAS 17 Accounting for Leases,
IAS 17,01-Jan-1984,Effective date of IAS 17 (1982),
IAS 17,1994,IAS 17 (1982) was reformatted,
IAS 17,Apr-1997,"Exposure Draft E56, Leases",
IAS 17,Dec-1997,IAS 17 Leases,
IAS 17,01-Jan-1999,Effective date of IAS 17 (1997) Leases,
IAS 17,18-Dec-2003,Revised version of IAS 17 issued by the IASB,
IAS 17,01-Jan-2005,Effective date of IAS 17 (Revised 2003),
IAS 17,16-Apr-2009,IAS 17 amended for Annual Improvements to IFRSs 2009 about classification of land leases,
IAS 17,01-Jan-2010,"Effective date of the April 2009 revisions to IAS 17, with early application permitted (with disclosure)",
IAS 17,01-Jan-2019,IAS 17 will be superseded by IFRS 16 Leases,
IAS 18,Apr-1981,Exposure Draft E20 Revenue Recognition,
IAS 18,Dec-1982,IAS 18 Revenue Recognition,
IAS 18,01-Jan-1984,Effective date of IAS 18 (1982),
IAS 18,May-1992,E41 Revenue Recognition,
IAS 18,Dec-1993,IAS 18 Revenue Recognition (revised as part of the 'Comparability of Financial Statements' project),
IAS 18,01-Jan-1995,Effective date of IAS 18 (1993) Revenue Recognition,
IAS 18,Dec-1998,"Amended by IAS 39 Financial Instruments: Recognition and Measurement, effective 1 January 2001",
IAS 18,16-Apr-2009,Appendix to IAS 18 amended for Annual Improvements to IFRSs 2009. It now provides guidance for determining whether an entity is acting as a principal or as an agent.,
IAS 18,01-Jan-2018,IAS 18 will be superseded by IFRS 15 Revenue from Contracts with Customers,
IAS 19,Apr-1980,Exposure Draft E16 Accounting for Retirement Benefits in Financial Statements of Employers published,
IAS 19,Jan-1983,IAS 19 Accounting for Retirement Benefits in Financial Statements of Employers issued,Operative for financial statements covering periods beginning on or after 1 January 1985
